"HolderAddress","Balance","PendingBalanceUpdate"
"0x00f51d0eed160d53f9d90e70b35a43ebfb618c5b","65301.87","No"
"0x03fadce719ca1cfe4f114e18c862be25e40fbf3c","120596.38","No"
"0x04181a9feec83a9692f2126333660e7a0cf13a73","47036","No"
"0x041ac4b6c6aa0d0daeb035f2263732bc41f9fbd9","4849.98","No"
"0x0a0b5fe27b2f4be657ee91c48af4ceeae097706e","19334","No"
"0x0a7521653fdc62fbd124c88708d5b633adbc3725","46573.76","No"
"0x0e1b5ab67af1c99f8c7ebc71f41f75d4d6211e53","20283.22","No"
"0x0ebcf026946a4de6155961d66d53b0100c6271a1","26248.97","No"
"0x119e26e8809efd0d2baf690c62bd847271f2e96e","2668","No"
"0x1338c277e03fbe9d6b1b3b655f0e567c0dcaac4a","1428","No"
"0x15960e78d5546daca964045a3b39cd9406906c53","15500","No"
"0x15f07dda9dc253c9b6df3ab6c1e3d2a3d80177c5","100","No"
"0x1a419da3768960a91ac3a69ef965db26063718fd","100","No"
"0x1f134294dee0055da2a9914f73d2a7a59d374ac0","2200","No"
"0x28ff8e457fef9870b9d1529fe68fbb95c3181f64","32795","No"
"0x2af9915152fc9e4be9ca3ed074cecb98c1e25d78","3945","No"
"0x2c1929ee38950843211d1b22c31ac18f5b23e0c0","100","No"
"0x2e79a7e102897e8e14c41c6bb683a4a53b440460","52078","No"
"0x2e7f4dd3acd226ddae10246a45337f815cf6b3ff","233487.44","No"
"0x2f5171272476241f1956c92f3ad51d3915e7e8a7","4400","No"
"0x325fb0d23b9526e90477c74e18f47670cc996606","116285","No"
"0x355382c41debac9ff3161eaa37472e8efeb0db6a","25681.38","No"
"0x369e32aed1dc5c33c85ab20977fb645a803e4a70","31998","No"
"0x36dbcbb5c90e9b00ab658353696610cc5d7b7002","82981","No"
"0x37341cbb14c5f128a70b149726ad8b2ce6f4c793","75850.95","No"
"0x394298dd22cf68f480320b81d4ddd47c6ebc055a","2350","No"
"0x3d51cc44f6913acab92d4d4537eafce72589b8ac","800","No"
"0x3e4dfe3dc66ccf4f8f604902e17cb3aa86d09d05","11000","No"
"0x3e9976d5ba86a78d6e5c25bc2f309049676c0798","4926","No"
"0x40a57a5d9b618b9a49307b530736b4f51e008741","128493.24","No"
"0x438b5e448a9e34e67794fcce2545dea4660a69c6","29849","No"
"0x44ec8794d1bb7624c223203e64eae927d2d46437","14940","No"
"0x49c9560d4dac336984d1651d24192df48a998f47","70385","No"
"0x4b037687c1c5159285a7defad3681f8e123d2478","4850","No"
"0x56149df3daa0827fd883ddf6990764f0e2011e3d","100","No"
"0x58b753f0c417494226af608b63e80028255cbc64","16505.7","No"
"0x5b52ba08252f17a1560b8f6bdf025518d18b6a62","4050","No"
"0x5db06acd673531218b10430ba6de9b69913ad545","69937.2","No"
"0x5e642f8c81de40e7e49b6a2b606dfb94a005bc44","54501.37","No"
"0x61ffe691821291d02e9ba5d33098adcee71a3a17","225672","No"
